,name,url,country,revision_id,article_quality
153,Kurt Agë Kadiu,https://en.wikipedia.org/wiki/Kurt_Agë_Kadiu,Albania,998414015,Stub
154,Mehmed Kalakula,https://en.wikipedia.org/wiki/Mehmed_Kalakula,Albania,979382854,Stub
155,Alfred Karamuço,https://en.wikipedia.org/wiki/Alfred_Karamuço,Albania,1098236555,Stub
156,Ibrahim Karbunara,https://en.wikipedia.org/wiki/Ibrahim_Karbunara,Albania,1053849574,Start
157,Ali Këlcyra,https://en.wikipedia.org/wiki/Ali_Këlcyra,Albania,1069956844,C
158,Belind Këlliçi,https://en.wikipedia.org/wiki/Belind_Këlliçi,Albania,1114971095,C
159,Bajram Kelmendi,https://en.wikipedia.org/wiki/Bajram_Kelmendi,Albania,1098232331,Start
160,Kristo Kirka,https://en.wikipedia.org/wiki/Kristo_Kirka,Albania,1071577370,C
161,Elez Koçi,https://en.wikipedia.org/wiki/Elez_Koçi,Albania,919356105,Start
162,Ali Riza Kolonja,https://en.wikipedia.org/wiki/Ali_Riza_Kolonja,Albania,1095185542,Start
163,Glauk Konjufca,https://en.wikipedia.org/wiki/Glauk_Konjufca,Albania,1110511667,Start
164,Xhelal Koprëncka,https://en.wikipedia.org/wiki/Xhelal_Koprëncka,Albania,1106794268,Stub
165,Kryeziu family,https://en.wikipedia.org/wiki/Kryeziu_family,Albania,1113466121,Start
166,Artur Kuko,https://en.wikipedia.org/wiki/Artur_Kuko,Albania,1112281132,Stub
167,Xhavid Leskoviku,https://en.wikipedia.org/wiki/Xhavid_Leskoviku,Albania,1080104315,Start
168,Sabit Lulo,https://en.wikipedia.org/wiki/Sabit_Lulo,Albania,1071576324,Stub
169,Gjon Markagjoni,https://en.wikipedia.org/wiki/Gjon_Markagjoni,Albania,1114419158,C
170,Tefik Mborja,https://en.wikipedia.org/wiki/Tefik_Mborja,Albania,1112281218,Start
171,Fatmir Mediu,https://en.wikipedia.org/wiki/Fatmir_Mediu,Albania,1108640753,Stub
172,Hysni Milloshi,https://en.wikipedia.org/wiki/Hysni_Milloshi,Albania,1111101481,Start
173,Musa Qazimi,https://en.wikipedia.org/wiki/Musa_Qazimi,Albania,1085455681,GA
174,Mustafa Ndroqi,https://en.wikipedia.org/wiki/Mustafa_Ndroqi,Albania,1091483288,Stub
175,Behxhet Nepravishta,https://en.wikipedia.org/wiki/Behxhet_Nepravishta,Albania,1114419169,Stub
176,Adrian Neritani,https://en.wikipedia.org/wiki/Adrian_Neritani,Albania,1112281129,Start
177,Sali Nivica,https://en.wikipedia.org/wiki/Sali_Nivica,Albania,1074384873,Start
178,Thoma Orologa,https://en.wikipedia.org/wiki/Thoma_Orologa,Albania,1114419178,Start
179,Bedri Pejani,https://en.wikipedia.org/wiki/Bedri_Pejani,Albania,1080373501,C
180,Pertef Pogoni,https://en.wikipedia.org/wiki/Pertef_Pogoni,Albania,1071576384,Stub
